it_co_receita,it_no_receita
1112,ICMS Indústria Normal,1112 - ICMS Indústria Normal
1118,ICMS Indústria Importação,1118 - ICMS Indústria Importação
1125,ICMS Indústria Exportação,1125 - ICMS Indústria Exportação
1131,ICMS Indústria Substituição tributária entrada,1131 - ICMS Indústria Substituição tributária entrada
1145,ICMS Indústria Substituição tributária - saída,1145 - ICMS Indústria Substituição tributária - saída
1154,ICMS Indústria Rondônia Simples MEE Faixa 1,1154 - ICMS Indústria Rondônia Simples MEE Faixa 1
1156,ICMS Indústria Rondônia Simples EPP Faixa 1,1156 - ICMS Indústria Rondônia Simples EPP Faixa 1
1158,ICMS Indústria Rondônia Simples EPP Faixa 2,1158 - ICMS Indústria Rondônia Simples EPP Faixa 2
1212,ICMS Comércio Normal,1212 - ICMS Comércio Normal
1218,ICMS Comércio Importação,1218 - ICMS Comércio Importação
1225,ICMS Comércio Exportação,1225 - ICMS Comércio Exportação
1231,ICMS Comércio Substituição tributária - entrada,1231 - ICMS Comércio Substituição tributária - entrada
1245,ICMS Comércio Substituição tributária - saída,1245 - ICMS Comércio Substituição tributária - saída
1254,ICMS Comércio Rondônia Simples MEE Faixa 1,1254 - ICMS Comércio Rondônia Simples MEE Faixa 1
1256,ICMS Comércio Rondônia Simples EPP Faixa 1,1256 - ICMS Comércio Rondônia Simples EPP Faixa 1
1258,ICMS Comércio Rondônia Simples EPP Faixa 2,1258 - ICMS Comércio Rondônia Simples EPP Faixa 2
1311,ICMS Produto Primário Arroz,1311 - ICMS Produto Primário Arroz
1312,ICMS Produto Primário Cacau,1312 - ICMS Produto Primário Cacau
1313,ICMS Produto Primário Café,1313 - ICMS Produto Primário Café
1314,ICMS Produto Primário Castanha,1314 - ICMS Produto Primário Castanha
1315,ICMS Produto Primário Banana,1315 - ICMS Produto Primário Banana
1316,ICMS Produto Primário Feijão,1316 - ICMS Produto Primário Feijão
1317,ICMS Produto Primário Milho,1317 - ICMS Produto Primário Milho
1318,ICMS Produto Primário Soja,1318 - ICMS Produto Primário Soja
1319,ICMS Produto Primário Outros,1319 - ICMS Produto Primário Outros
1321,ICMS Produto Primário Pecuária Bovinos,1321 - ICMS Produto Primário Pecuária Bovinos
1322,ICMS Produto Primário Pecuária Suínos,1322 - ICMS Produto Primário Pecuária Suínos
1323,ICMS Produto Primário Pecuária Caprinos,1323 - ICMS Produto Primário Pecuária Caprinos
1324,ICMS Produto Primário Pecuária Ovinos,1324 - ICMS Produto Primário Pecuária Ovinos
1325,ICMS Produto Primário Pecuária Outros,1325 - ICMS Produto Primário Pecuária Outros
1330,ICMS Produto Primário Piscicultura,1330 - ICMS Produto Primário Piscicultura
1340,ICMS Produto Primário Avicultura,1340 - ICMS Produto Primário Avicultura
1351,ICMS Produto Primário Extr. Mineral Cassiterita,1351 - ICMS Produto Primário Extr. Mineral Cassiterita
1352,ICMS Produto Primário Extr. Minera l Ouro,1352 - ICMS Produto Primário Extr. Minera l Ouro
1353,ICMS Produto Primário Extr. Minera l Pedras preciosas,1353 - ICMS Produto Primário Extr. Minera l Pedras preciosas
1354,ICMS Produto Primário Extr. Minera l Outros,1354 - ICMS Produto Primário Extr. Minera l Outros
1361,ICMS Produto Primário Extr. Vegeta l Borracha,1361 - ICMS Produto Primário Extr. Vegeta l Borracha
1362,ICMS Produto Primário Extr. Vegeta l Madeira,1362 - ICMS Produto Primário Extr. Vegeta l Madeira
